Day,TP Ho Chi Minh,Tien Giang,Long An,An Giang,Ben Tre,Can Tho,Vinh Long,Tra Vinh,Ca Mau,Hau Giang,Kien Giang,Soc Trang,Bac Lieu,Dong Thap,Binh Duong,Vung Tau,Tay Ninh,Binh Phuoc
27/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/04/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/05/2021,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/05/2021,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/2021,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/05/2021,29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30/05/2021,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/2021,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
01/06/2021,70,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
02/06/2021,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03/06/2021,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/06/2021,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2021,31,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
06/06/2021,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
07/06/2021,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/06/2021,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
09/06/2021,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/06/2021,61,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2021,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/06/2021,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13/06/2021,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14/06/2021,82,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
15/06/2021,90,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
16/06/2021,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2021,137,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
18/06/2021,149,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
19/06/2021,135,3,6,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
20/06/2021,137,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0
21/06/2021,166,2,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0
22/06/2021,136,5,1,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0
23/06/2021,152,0,5,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0
24/06/2021,162,9,2,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0
25/06/2021,724,8,22,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0
26/06/2021,58,0,7,0,0,1,0,0,0,0,0,0,0,8,5,0,5,0
27/06/2021,200,0,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
28/06/2021,218,0,6,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0
29/06/2021,55,22,12,0,0,0,1,1,0,0,0,0,0,22,24,1,0,0
30/06/2021,349,0,1,4,0,0,0,0,0,0,0,0,0,5,81,6,0,0
01/07/2021,464,38,28,5,0,0,1,0,0,0,0,0,0,1,90,0,0,1
02/07/2021,419,0,7,6,0,0,3,1,0,0,0,0,0,3,13,0,2,1
03/07/2021,714,12,2,1,0,0,3,2,0,0,0,0,3,12,38,4,0,1
04/07/2021,599,29,72,6,1,0,2,1,0,0,0,0,0,6,87,2,2,0
05/07/2021,641,11,15,12,0,0,3,0,0,0,0,1,0,165,131,4,3,4
06/07/2021,710,0,14,11,0,0,2,2,0,0,0,0,0,99,92,0,0,0
07/07/2021,766,18,19,0,0,0,24,3,1,0,0,0,0,5,60,2,0,0
08/07/2021,915,0,0,11,1,0,17,2,11,1,1,0,2,108,135,0,1,3
09/07/2021,1229,34,77,5,0,6,0,8,0,4,0,2,2,32,73,4,0,1
10/07/2021,1320,75,33,10,2,0,26,2,2,0,1,7,1,58,140,12,4,8
11/07/2021,1397,46,46,7,7,1,43,2,1,9,0,3,1,50,234,3,0,2
12/07/2021,1764,118,0,11,0,0,26,8,0,8,0,5,2,40,128,0,3,8
13/07/2021,1797,0,130,4,11,5,23,3,0,0,3,0,0,31,186,27,5,1
14/07/2021,2229,115,0,2,46,8,17,2,1,0,11,13,0,133,73,19,4,1
15/07/2021,2691,0,41,8,30,11,17,3,1,0,0,4,0,99,122,17,0,13
16/07/2021,2420,146,0,1,15,19,49,2,2,7,8,0,0,158,166,0,3,13
17/07/2021,2786,0,134,8,34,6,42,15,0,0,0,6,0,180,124,23,0,10
18/07/2021,4692,31,89,3,17,26,38,0,0,0,19,4,0,101,345,41,72,7
19/07/2021,3074,0,37,8,30,0,41,8,0,2,8,19,0,53,503,28,0,6
20/07/2021,1519,133,0,6,34,37,63,0,0,10,8,0,2,6,578,26,0,6
21/07/2021,5359,65,106,2,35,55,19,10,0,9,24,6,2,169,964,18,30,12
22/07/2021,4218,68,432,15,62,45,37,9,0,12,11,8,0,117,679,62,0,5
23/07/2021,4913,94,602,2,23,34,12,15,2,4,13,0,0,129,608,58,212,4
24/07/2021,5396,220,1892,7,61,23,25,0,2,9,14,0,2,75,785,71,132,0
25/07/2021,2328,218,0,2,33,18,50,7,0,3,17,9,0,0,881,0,127,6
