Day,TP Ho Chi Minh,Tien Giang,Long An,An Giang,Ben Tre,TP Can Tho,Vinh Long,Tra Vinh,Ca Mau,Hau Giang,Kien Giang,Soc Trang,Bac Lieu,Dong Thap,Binh Duong,Vung Tau,Tay Ninh,Binh Phuoc
27/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/04/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/04/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/05/2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/2021,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/05/2021,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/05/2021,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/05/2021,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/05/2021,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/05/2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/05/2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/05/2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/05/2021,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/2021,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/05/2021,98,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30/05/2021,157,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31/05/2021,157,0,5,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0
01/06/2021,227,0,8,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0
02/06/2021,258,0,8,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0
03/06/2021,288,0,10,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0
04/06/2021,314,0,10,0,0,0,0,2,0,0,0,0,1,1,3,0,0,0
05/06/2021,345,1,10,0,0,0,0,2,0,0,0,0,1,1,5,0,0,0
06/06/2021,376,1,10,0,0,0,0,2,0,0,0,0,1,1,7,0,0,0
07/06/2021,422,1,10,0,0,0,0,2,0,0,0,0,1,1,7,0,0,0
08/06/2021,461,1,10,0,0,0,0,2,0,0,0,0,1,1,8,0,0,0
09/06/2021,501,1,10,0,0,0,0,2,0,0,0,0,1,1,8,0,0,0
10/06/2021,562,3,11,0,0,0,0,2,0,0,0,0,1,1,8,0,0,0
11/06/2021,610,3,11,0,0,0,0,2,0,0,0,0,1,1,8,0,0,0
12/06/2021,694,13,11,0,0,0,0,2,0,0,0,0,1,1,8,0,1,0
13/06/2021,789,13,11,0,0,0,0,2,0,0,0,0,1,1,9,0,1,0
14/06/2021,871,27,11,0,0,0,0,2,0,0,0,0,1,1,13,0,1,0
15/06/2021,961,27,11,0,0,0,0,2,0,0,0,0,1,1,25,0,1,0
16/06/2021,1060,27,11,0,0,0,0,2,0,0,0,0,1,1,25,0,1,0
17/06/2021,1197,40,11,0,0,0,0,2,0,0,0,0,1,1,32,0,1,0
18/06/2021,1346,40,11,0,0,0,0,2,0,0,0,0,1,1,44,0,1,0
19/06/2021,1481,43,17,0,0,0,0,2,0,0,0,0,1,1,74,0,1,0
20/06/2021,1618,43,17,1,0,0,0,2,0,0,0,0,1,1,87,0,1,0
21/06/2021,1784,45,17,1,0,0,0,3,0,0,0,0,1,1,108,0,1,0
22/06/2021,1920,50,18,1,0,0,1,3,0,0,0,0,1,1,141,0,1,0
23/06/2021,2072,50,23,1,0,0,1,3,0,0,2,0,1,1,164,0,1,0
24/06/2021,2234,59,25,1,0,0,1,3,0,0,2,0,1,1,191,0,3,0
25/06/2021,2958,67,47,1,0,0,1,3,0,0,2,0,1,3,221,0,3,0
26/06/2021,3016,67,54,1,0,1,1,3,0,0,2,0,1,11,226,0,8,0
27/06/2021,3216,67,61,1,0,1,1,3,0,0,2,0,1,11,262,0,8,0
28/06/2021,3434,67,67,1,0,1,1,3,0,0,2,0,1,12,302,0,8,0
29/06/2021,3589,89,79,1,0,1,2,4,0,0,2,0,1,34,326,1,8,0
30/06/2021,3838,89,80,5,0,1,2,4,0,0,2,0,1,39,407,7,8,0
01/07/2021,4302,127,108,10,0,1,3,4,0,0,2,0,1,40,497,7,8,1
02/07/2021,4721,127,115,16,0,1,6,5,0,0,2,0,1,43,510,7,10,2
03/07/2021,5435,139,117,17,0,1,9,7,0,0,2,0,4,55,548,11,10,3
04/07/2021,6034,168,189,23,1,1,11,8,0,0,2,0,4,61,635,13,12,3
05/07/2021,6675,179,204,35,1,1,14,8,0,0,2,1,4,226,766,17,15,7
06/07/2021,7385,179,218,46,1,1,16,10,0,0,2,1,4,325,858,17,15,7
07/07/2021,8151,197,237,46,1,1,40,13,1,0,2,1,4,330,918,19,15,7
08/07/2021,9066,197,237,57,2,1,57,15,12,1,3,1,6,438,1053,19,16,10
09/07/2021,10295,231,314,62,2,7,57,23,12,5,3,3,8,470,1126,23,16,11
10/07/2021,11615,306,347,72,4,7,83,25,14,5,4,10,9,528,1266,35,20,19
11/07/2021,13012,352,393,79,11,8,126,27,15,14,4,13,10,578,1500,38,20,21
12/07/2021,14776,470,393,90,11,8,152,35,15,22,4,18,12,618,1628,38,23,29
13/07/2021,16573,470,523,94,22,13,175,38,15,22,7,18,12,649,1814,65,28,30
14/07/2021,18802,585,523,96,68,21,192,40,16,22,18,31,12,782,1887,84,32,31
15/07/2021,21493,585,564,104,98,32,209,43,17,22,18,35,12,881,2009,101,32,44
16/07/2021,23913,731,564,105,113,51,258,45,19,29,26,35,12,1039,2175,101,35,57
17/07/2021,26699,731,698,113,147,57,300,60,19,29,26,41,12,1219,2299,124,35,67
18/07/2021,31391,762,787,116,164,83,338,60,19,29,45,45,12,1320,2644,165,107,74
19/07/2021,34465,762,824,124,194,83,379,68,19,31,53,64,12,1373,3147,193,107,80
20/07/2021,35984,895,824,130,228,120,442,68,19,41,61,64,14,1379,3725,219,107,86
21/07/2021,41343,960,930,132,263,175,461,78,19,50,85,70,16,1548,4689,237,137,98
22/07/2021,45561,1028,1362,147,325,220,499,87,19,62,96,78,16,1665,5368,300,137,103
23/07/2021,50474,1123,1964,149,348,254,511,102,21,66,109,78,16,1794,5976,358,349,107
24/07/2021,55870,1343,3856,156,409,277,536,102,23,75,123,78,18,1869,6761,429,481,107
25/07/2021,60425,1561,3856,158,454,333,586,129,23,85,148,87,21,1959,8010,555,794,113
26/07/2021,66422,1762,3856,183,491,376,635,142,24,92,148,87,23,2064,8743,555,794,133
27/07/2021,72740,1825,3931,226,551,447,708,145,25,102,161,109,24,2397,8909,607,938,133
28/07/2021,77189,1855,3931,250,635,518,708,237,27,108,161,121,24,2641,9540,663,1058,136
29/07/2021,81781,1855,4430,260,635,557,739,255,31,121,182,121,28,2798,10684,848,1197,171
30/07/2021,86063,2097,4899,276,732,731,754,291,31,149,199,121,28,2955,12604,981,1285,183
31/07/2021,90243,2220,4899,278,732,803,802,291,31,168,215,121,28,3101,13472,1096,1285,183
